Date,Time,Device name,Temperature (°C),Humidity (%RH),Vibration,Luminosity (%)
2022-12-20,22:47,Arduino,18,21,0,0
2022-12-20,22:48,Arduino,18,22,0,0
2022-12-20,22:49,Arduino,18,21,0,0
2022-12-20,22:50,Arduino,18,24,0,0
2022-12-20,22:51,Arduino,18,22,0,0
2022-12-20,22:52,Arduino,19,22,0,0
2022-12-20,22:53,Arduino,19,22,0,0
2022-12-20,22:54,Arduino,19,34,0,0
2022-12-20,22:55,Arduino,19,22,0,0
2022-12-20,22:56,Arduino,18,21,0,0
2022-12-20,22:57,Arduino,18,23,0,0
2022-12-20,22:58,Arduino,17,20,0,0
2022-12-20,22:59,Arduino,20,23,0,0
2022-12-20,23:00,Arduino,19,24,0,0
2022-12-20,23:01,Arduino,19,22,0,0
2022-12-20,23:02,Arduino,18,22,0,0
2022-12-20,23:03,Arduino,19,24,0,0
2022-12-20,23:04,Arduino,18,32,0,0
2022-12-20,23:05,Arduino,18,32,0,0
2022-12-20,23:06,Arduino,18,24,0,0
2022-12-20,23:07,Arduino,18,24,0,0
2022-12-20,23:08,Arduino,18,64,0,0
2022-12-20,23:09,Arduino,19,22,0,0
2022-12-20,23:10,Arduino,19,34,0,0
2022-12-20,23:11,Arduino,18,21,0,0
2022-12-20,23:12,Arduino,18,26,0,0
2022-12-20,23:13,Arduino,19,22,0,0
2022-12-20,23:14,Arduino,19,22,0,0
2022-12-20,23:15,Arduino,19,25,0,0
2022-12-20,23:16,Arduino,18,23,0,0
2022-12-20,23:17,Arduino,19,22,0,0
2022-12-20,23:18,Arduino,19,34,0,0
2022-12-20,23:19,Arduino,19,24,0,0
2022-12-20,23:20,Arduino,18,24,0,0
2022-12-20,23:21,Arduino,18,23,0,0
2022-12-21,12:35,Arduino,20,38,0,1
2022-12-21,12:36,Arduino,20,39,0,1
2022-12-21,12:37,Arduino,20,26,0,1
2022-12-21,12:45,Arduino,20,78,0,4
2022-12-21,12:46,Arduino,21,41,0,4
2022-12-21,12:47,Arduino,21,41,0,2
2022-12-21,12:48,Arduino,21,82,0,4
2022-12-21,12:53,Arduino,22,42,0,4
2022-12-21,12:54,Arduino,22,28,0,4
2022-12-21,12:55,Arduino,22,42,0,4
2022-12-21,12:56,Arduino,21,41,0,4
2022-12-21,12:57,Arduino,22,42,0,3
2022-12-21,12:58,Arduino,21,41,1,2
2022-12-21,12:59,Arduino,21,41,0,2
2022-12-21,13:01,Arduino,22,21,0,0
2022-12-21,13:02,Arduino,22,29,0,0
2022-12-21,13:03,Arduino,22,42,0,0
2022-12-21,13:04,Arduino,21,41,0,0
2022-12-21,13:12,Arduino,22,85,0,0
2022-12-21,13:13,Arduino,22,42,0,0
2022-12-21,13:14,Arduino,22,87,0,0
2022-12-21,13:15,Arduino,22,29,0,0
2022-12-21,13:16,Arduino,22,42,0,0
2022-12-21,13:23,Arduino,22,85,0,0
2022-12-21,13:24,Arduino,22,44,0,0
2022-12-21,13:25,Arduino,21,82,0,0
2022-12-21,13:26,Arduino,21,41,0,0
2022-12-21,13:27,Arduino,21,82,0,0
2022-12-21,13:28,Arduino,20,78,0,0
2022-12-21,13:29,Arduino,22,85,0,0
2022-12-21,13:30,Arduino,21,41,0,0
2022-12-21,13:31,Arduino,21,82,0,0
2022-12-21,13:32,Arduino,21,41,0,0
2022-12-21,13:33,Arduino,22,85,0,0
