Date,Time,Device name,Temperature (°C),Humidity (%RH),Vibration,Luminosity (%)
2022-12-20,22:47,Nucleo,20,21,0,0
2022-12-20,22:47,Arduino,18,21,0,0
2022-12-20,22:48,Nucleo,21,27,0,0
2022-12-20,22:48,Arduino,18,22,0,0
2022-12-20,22:49,Nucleo,20,20,0,0
2022-12-20,22:49,Arduino,18,21,0,0
2022-12-20,22:50,Nucleo,21,21,0,0
2022-12-20,22:50,Arduino,18,24,0,0
2022-12-20,22:51,Nucleo,21,22,0,0
2022-12-20,22:51,Arduino,18,22,0,0
2022-12-20,22:52,Nucleo,20,20,0,0
2022-12-20,22:52,Arduino,19,22,0,0
2022-12-20,22:53,Arduino,19,22,0,0
2022-12-20,22:54,Nucleo,20,23,0,0
2022-12-20,22:54,Arduino,19,34,0,0
2022-12-20,22:55,Nucleo,20,21,0,0
2022-12-20,22:55,Arduino,19,22,0,0
2022-12-20,22:56,Nucleo,21,22,0,0
2022-12-20,22:56,Arduino,18,21,0,0
2022-12-20,22:57,Nucleo,21,20,0,0
2022-12-20,22:57,Arduino,18,23,0,0
2022-12-20,22:58,Nucleo,21,23,0,0
2022-12-20,22:58,Arduino,17,20,0,0
2022-12-20,22:59,Nucleo,21,22,0,0
2022-12-20,22:59,Arduino,20,23,0,0
2022-12-20,23:00,Nucleo,21,21,0,0
2022-12-20,23:00,Arduino,19,24,0,0
2022-12-20,23:01,Nucleo,21,23,0,0
2022-12-20,23:01,Arduino,19,22,0,0
2022-12-20,23:02,Nucleo,20,20,0,0
2022-12-20,23:02,Arduino,18,22,0,0
2022-12-20,23:03,Nucleo,21,21,0,0
2022-12-20,23:03,Arduino,19,24,0,0
2022-12-20,23:04,Nucleo,20,22,0,0
2022-12-20,23:04,Arduino,18,32,0,0
2022-12-20,23:05,Nucleo,20,21,0,0
2022-12-20,23:05,Arduino,18,32,0,0
2022-12-20,23:06,Nucleo,21,21,0,0
2022-12-20,23:06,Arduino,18,24,0,0
2022-12-20,23:07,Nucleo,21,21,0,0
2022-12-20,23:07,Arduino,18,24,0,0
2022-12-20,23:08,Nucleo,21,21,0,0
2022-12-20,23:08,Arduino,18,64,0,0
2022-12-20,23:09,Nucleo,21,22,0,0
2022-12-20,23:09,Arduino,19,22,0,0
2022-12-20,23:10,Nucleo,20,21,0,0
2022-12-20,23:10,Arduino,19,34,0,0
2022-12-20,23:11,Nucleo,20,20,0,0
2022-12-20,23:11,Arduino,18,21,0,0
2022-12-20,23:12,Nucleo,22,21,0,0
2022-12-20,23:12,Arduino,18,26,0,0
2022-12-20,23:13,Arduino,19,22,0,0
2022-12-20,23:14,Nucleo,21,23,0,0
2022-12-20,23:14,Arduino,19,22,0,0
2022-12-20,23:15,Nucleo,20,26,0,0
2022-12-20,23:15,Arduino,19,25,0,0
2022-12-20,23:16,Nucleo,20,23,0,0
2022-12-20,23:16,Arduino,18,23,0,0
2022-12-20,23:17,Nucleo,21,22,0,0
2022-12-20,23:17,Arduino,19,22,0,0
2022-12-20,23:18,Nucleo,20,20,0,0
2022-12-20,23:18,Arduino,19,34,0,0
2022-12-20,23:19,Nucleo,21,21,0,0
2022-12-20,23:19,Arduino,19,24,0,0
2022-12-20,23:20,Nucleo,21,22,0,0
2022-12-20,23:20,Arduino,18,24,0,0
2022-12-20,23:21,Nucleo,20,22,0,0
2022-12-20,23:21,Arduino,18,23,0,0
